Type, Run, Ratio, Test1, Test2
1920x1080, 11, 16:10, 72.12, 61.40
1920x1080, 11, 16:9, 73.32, 62.38
1920x1080, 11, 21:9, 73.97, 63.84
1920x1080, 11, 9:16, 71.10, 64.31
1920x1080, 12, 4:3, 72.62, 62.55
1920x1080, 12, 5:4, 71.34, 61.69
1920x1080, 12, 16:10, 72.24, 61.53
1920x1080, 12, 16:9, 72.85, 62.37
1920x1080, 12, 21:9, 74.04, 63.87
1920x1080, 12, 9:16, 71.57, 64.33
1920x1080, 13, 4:3, 72.37, 62.47
1920x1080, 13, 5:4, 71.85, 61.76
1920x1080, 13, 16:10, 72.73, 61.53
1920x1080, 13, 16:9, 73.14, 62.53
1920x1080, 13, 21:9, 74.06, 63.88
1920x1080, 13, 9:16, 71.55, 64.34
1920x1080, 14, 4:3, 72.78, 62.61
1920x1080, 14, 5:4, 71.34, 61.76
1920x1080, 14, 16:10, 72.28, 61.43
1920x1080, 14, 16:9, 72.86, 62.48
1920x1080, 14, 21:9, 74.32, 63.93
1920x1080, 14, 9:16, 71.34, 64.23
1920x1080, 15, 4:3, 72.82, 62.70
1920x1080, 15, 5:4, 71.51, 61.72
1920x1080, 15, 16:10, 72.09, 61.12
1920x1080, 15, 16:9, 73.28, 62.56
1920x1080, 15, 21:9, 74.42, 63.81
1920x1080, 15, 9:16, 71.15, 64.36
1920x1080, 2, 4:3, 72.55, 62.32
1920x1080, 2, 5:4, 72.41, 62.13
1920x1080, 2, 16:10, 72.87, 61.87
1920x1080, 2, 16:9, 72.57, 62.26
1920x1080, 2, 21:9, 74.27, 63.63
1920x1080, 2, 9:16, 71.01, 64.04
1920x1080, 3, 4:3, 72.60, 62.40
1920x1080, 3, 5:4, 71.94, 62.01
1920x1080, 3, 16:10, 72.53, 61.62
1920x1080, 3, 16:9, 72.67, 62.25
1920x1080, 3, 21:9, 74.00, 63.83
1920x1080, 3, 9:16, 71.41, 64.31
1920x1080, 4, 4:3, 72.32, 62.45
1920x1080, 4, 5:4, 72.27, 61.95
1920x1080, 4, 16:10, 72.77, 61.72
1920x1080, 4, 16:9, 73.05, 62.52
1920x1080, 4, 21:9, 74.13, 63.76
1920x1080, 4, 9:16, 71.25, 64.33
1920x1080, 5, 4:3, 72.48, 62.44
1920x1080, 5, 5:4, 72.04, 62.03
1920x1080, 5, 16:10, 72.53, 61.82
1920x1080, 5, 16:9, 73.21, 62.36
1920x1080, 5, 21:9, 74.13, 63.85
1920x1080, 5, 9:16, 71.42, 64.20
1920x1080, 6, 4:3, 72.19, 62.33
1920x1080, 6, 5:4, 72.17, 61.91
1920x1080, 6, 16:10, 72.51, 61.73
1920x1080, 6, 16:9, 72.95, 62.28
1920x1080, 6, 21:9, 74.23, 63.69
1920x1080, 6, 9:16, 71.52, 64.34
1920x1080, 7, 4:3, 72.45, 62.40
1920x1080, 7, 5:4, 72.04, 61.83
1920x1080, 7, 16:10, 72.26, 61.43
1920x1080, 7, 16:9, 73.03, 62.31
1920x1080, 7, 21:9, 74.17, 63.62
1920x1080, 7, 9:16, 71.11, 64.30
1920x1080, 8, 4:3, 72.45, 62.45
1920x1080, 8, 5:4, 71.81, 61.75
1920x1080, 8, 16:10, 72.20, 61.44
1920x1080, 8, 16:9, 73.03, 62.21
1920x1080, 8, 21:9, 73.98, 63.72
1920x1080, 8, 9:16, 71.13, 64.26
1920x1080, 9, 4:3, 72.39, 62.45
1920x1080, 9, 5:4, 71.43, 61.68
1920x1080, 9, 16:10, 72.07, 61.47
1920x1080, 9, 16:9, 73.02, 62.45
1920x1080, 9, 21:9, 73.99, 63.75
1920x1080, 9, 9:16, 71.13, 64.09
2560x1440, 1, 4:3, 45.77, 41.96
2560x1440, 1, 5:4, 45.09, 41.18
2560x1440, 1, 16:10, 45.73, 41.35
2560x1440, 1, 16:9, 46.39, 41.54
2560x1440, 1, 21:9, 47.79, 42.85
2560x1440, 1, 9:16, 46.56, 42.50
2560x1440, 10, 4:3, 45.73, 41.91
2560x1440, 10, 5:4, 46.05, 42.25
2560x1440, 10, 16:10, 46.92, 42.19
2560x1440, 10, 16:9, 45.95, 41.44
2560x1440, 10, 21:9, 47.58, 42.66
2560x1440, 10, 9:16, 46.25, 42.36
2560x1440, 11, 4:3, 46.11, 41.89
2560x1440, 11, 5:4, 46.11, 42.23
2560x1440, 11, 16:10, 46.54, 42.18
2560x1440, 11, 16:9, 46.04, 41.44
2560x1440, 11, 21:9, 47.73, 42.73
2560x1440, 11, 9:16, 46.66, 42.36
2560x1440, 12, 4:3, 45.81, 41.97
2560x1440, 12, 5:4, 45.93, 42.23
2560x1440, 12, 16:10, 46.86, 42.23
2560x1440, 12, 16:9, 46.06, 41.49
2560x1440, 12, 21:9, 47.45, 42.77
2560x1440, 12, 9:16, 46.56, 42.39
2560x1440, 13, 4:3, 45.87, 41.97
2560x1440, 13, 5:4, 46.02, 42.39
2560x1440, 13, 16:10, 46.67, 42.21
2560x1440, 13, 16:9, 46.10, 41.57
2560x1440, 13, 21:9, 47.53, 42.82
2560x1440, 13, 9:16, 46.34, 42.47
2560x1440, 14, 4:3, 46.06, 42.11
2560x1440, 14, 5:4, 46.28, 42.16
2560x1440, 14, 16:10, 46.91, 42.22
2560x1440, 14, 16:9, 46.26, 41.61
2560x1440, 14, 21:9, 47.77, 42.81
2560x1440, 14, 9:16, 46.59, 42.46
2560x1440, 15, 4:3, 45.87, 42.14
2560x1440, 15, 5:4, 46.13, 42.18
2560x1440, 15, 16:10, 46.95, 42.33
2560x1440, 15, 16:9, 46.20, 41.68
2560x1440, 15, 21:9, 47.94, 42.87
2560x1440, 15, 9:16, 46.55, 42.58
2560x1440, 2, 4:3, 45.92, 42.05
2560x1440, 2, 5:4, 45.47, 41.80
2560x1440, 2, 16:10, 46.59, 41.86
2560x1440, 2, 16:9, 46.44, 41.70
2560x1440, 2, 21:9, 47.48, 42.91
2560x1440, 2, 9:16, 46.41, 42.51
2560x1440, 3, 4:3, 45.90, 42.07
2560x1440, 3, 5:4, 45.83, 41.98
2560x1440, 3, 16:10, 46.82, 42.07
2560x1440, 3, 16:9, 46.13, 41.70
2560x1440, 3, 21:9, 47.61, 42.62
2560x1440, 3, 9:16, 46.62, 42.38
2560x1440, 4, 4:3, 45.75, 41.92
2560x1440, 4, 5:4, 46.03, 42.18
2560x1440, 4, 16:10, 46.60, 42.06
2560x1440, 4, 16:9, 46.18, 41.49
2560x1440, 4, 21:9, 47.36, 42.72
2560x1440, 4, 9:16, 46.30, 42.33
2560x1440, 5, 4:3, 46.06, 41.99
2560x1440, 5, 5:4, 45.95, 42.19
2560x1440, 5, 16:10, 46.93, 42.22
2560x1440, 5, 16:9, 46.42, 41.53
2560x1440, 5, 21:9, 47.69, 42.75
2560x1440, 5, 9:16, 46.50, 42.38
2560x1440, 6, 4:3, 45.84, 42.04
2560x1440, 6, 5:4, 46.06, 42.45
2560x1440, 6, 16:10, 46.72, 42.25
2560x1440, 6, 16:9, 46.06, 41.58
2560x1440, 6, 21:9, 47.61, 42.55
2560x1440, 6, 9:16, 46.47, 42.28
2560x1440, 7, 4:3, 45.82, 41.79
2560x1440, 7, 5:4, 46.47, 42.38
2560x1440, 7, 16:10, 46.85, 42.27
2560x1440, 7, 16:9, 46.15, 41.41
2560x1440, 7, 21:9, 47.35, 42.59
2560x1440, 7, 9:16, 46.25, 42.34
2560x1440, 8, 4:3, 46.02, 41.97
2560x1440, 8, 5:4, 46.53, 42.37
2560x1440, 8, 16:10, 46.91, 42.31
2560x1440, 8, 16:9, 46.27, 41.54
2560x1440, 8, 21:9, 47.33, 42.61
2560x1440, 8, 9:16, 46.29, 42.39
2560x1440, 9, 4:3, 45.63, 41.78
2560x1440, 9, 5:4, 46.22, 42.25
2560x1440, 9, 16:10, 46.70, 42.20
2560x1440, 9, 16:9, 45.81, 41.37
2560x1440, 9, 21:9, 47.49, 42.61
2560x1440, 9, 9:16, 46.35, 42.32
3200x1800, 1, 4:3, 31.94, 30.58
3200x1800, 1, 5:4, 30.80, 29.39
3200x1800, 1, 16:10, 31.24, 29.96
3200x1800, 1, 16:9, 33.06, 31.42
3200x1800, 1, 21:9, 33.21, 31.12
3200x1800, 1, 9:16, 33.64, 31.41
3200x1800, 10, 4:3, 30.61, 29.43
3200x1800, 10, 5:4, 30.90, 29.49
3200x1800, 10, 16:10, 31.56, 29.96
3200x1800, 10, 16:9, 31.27, 29.88
3200x1800, 10, 21:9, 32.49, 30.35
3200x1800, 10, 9:16, 32.64, 30.33
3200x1800, 11, 4:3, 30.82, 29.46
3200x1800, 11, 5:4, 30.79, 29.44
3200x1800, 11, 16:10, 31.54, 29.96
3200x1800, 11, 16:9, 30.98, 29.89
3200x1800, 11, 21:9, 32.47, 30.41
3200x1800, 11, 9:16, 32.49, 30.32
3200x1800, 12, 4:3, 30.58, 29.43
3200x1800, 12, 5:4, 30.84, 29.42
3200x1800, 12, 16:10, 31.64, 29.96
3200x1800, 12, 16:9, 31.18, 29.88
3200x1800, 12, 21:9, 32.32, 30.39
3200x1800, 12, 9:16, 32.68, 30.32
3200x1800, 13, 4:3, 30.87, 29.46
3200x1800, 13, 5:4, 30.95, 29.50
3200x1800, 13, 16:10, 31.46, 30.04
3200x1800, 13, 16:9, 31.26, 29.90
3200x1800, 13, 21:9, 32.53, 30.42
3200x1800, 13, 9:16, 32.52, 30.36
3200x1800, 14, 4:3, 30.84, 29.36
3200x1800, 14, 5:4, 30.84, 29.51
3200x1800, 14, 16:10, 31.58, 29.98
3200x1800, 14, 16:9, 31.23, 29.91
